prediction_id,model_name,date,session,ticker,predicted_rank,actual_change_pct,is_correct,calculated_at
6,chatgpt,2026-04-23,day,SKYX,1,-8.035717231734662,0,2026-04-28 04:45:04
7,chatgpt,2026-04-23,day,VIV,2,0.31386839989137816,1,2026-04-28 04:45:04
8,chatgpt,2026-04-23,day,FCX,3,-1.268670161746961,0,2026-04-28 04:45:04
9,chatgpt,2026-04-23,day,ADSK,4,-3.48643903375477,0,2026-04-28 04:45:04
10,chatgpt,2026-04-23,day,TMO,5,-1.25885576352218,1,2026-04-28 04:45:04
16,claude,2026-04-23,day,INSW,1,0.4052255667892157,1,2026-04-28 04:45:04
17,claude,2026-04-23,day,FCX,2,-1.268670161746961,0,2026-04-28 04:45:04
18,claude,2026-04-23,day,NEM,3,0.6616475259892454,1,2026-04-28 04:45:04
19,claude,2026-04-23,day,INTC,4,1.0287448122135876,0,2026-04-28 04:45:04
20,claude,2026-04-23,day,JBLU,5,3.7549418847639124,0,2026-04-28 04:45:04
11,gemini,2026-04-23,day,SKYX,1,-8.035717231734662,0,2026-04-28 04:45:04
12,gemini,2026-04-23,day,EOG,2,-0.014940826463611225,0,2026-04-28 04:45:04
13,gemini,2026-04-23,day,ZIM,3,-1.39886891705435,1,2026-04-28 04:45:04
14,gemini,2026-04-23,day,NEM,4,0.6616475259892454,1,2026-04-28 04:45:04
15,gemini,2026-04-23,day,DAL,5,-0.16063172453163285,1,2026-04-28 04:45:04
1,grok,2026-04-23,day,SKYX,1,-8.035717231734662,0,2026-04-28 04:45:04
2,grok,2026-04-23,day,FCX,2,-1.268670161746961,0,2026-04-28 04:45:04
3,grok,2026-04-23,day,NEM,3,0.6616475259892454,1,2026-04-28 04:45:04
4,grok,2026-04-23,day,HCA,4,0.3811675986473597,0,2026-04-28 04:45:04
5,grok,2026-04-23,day,SLB,5,0.32991257449619044,0,2026-04-28 04:45:04
26,chatgpt,2026-04-24,day,HCA,1,0.5720910360646803,1,2026-04-28 04:45:07
27,chatgpt,2026-04-24,day,SCCO,2,-1.4636054424319664,0,2026-04-28 04:45:07
28,chatgpt,2026-04-24,day,NSC,3,-1.1287710483150966,0,2026-04-28 04:45:07
29,chatgpt,2026-04-24,day,NMR,4,-1.6250014305114746,1,2026-04-28 04:45:07
30,chatgpt,2026-04-24,day,GNTX,5,-2.251334987878226,0,2026-04-28 04:45:07
41,chatgpt,2026-04-24,overnight,CHTR,1,-3.0645,1,2026-04-28 04:45:10
42,chatgpt,2026-04-24,overnight,SCCO,2,-1.2803,0,2026-04-28 04:45:10
43,chatgpt,2026-04-24,overnight,HCA,3,3.0777,1,2026-04-28 04:45:10
44,chatgpt,2026-04-24,overnight,NSC,4,-0.2565,0,2026-04-28 04:45:10
45,chatgpt,2026-04-24,overnight,NMR,5,-1.3977,1,2026-04-28 04:45:10
36,claude,2026-04-24,day,NSC,1,-1.1287710483150966,0,2026-04-28 04:45:07
37,claude,2026-04-24,day,CRM,2,1.4463094269117711,0,2026-04-28 04:45:07
38,claude,2026-04-24,day,ARM,3,5.789327111208699,0,2026-04-28 04:45:07
39,claude,2026-04-24,day,CHTR,4,-22.690985028835836,1,2026-04-28 04:45:07
40,claude,2026-04-24,day,GNTX,5,-2.251334987878226,0,2026-04-28 04:45:07
56,claude,2026-04-24,overnight,QQQ,1,0.0527,1,2026-04-28 04:45:10
57,claude,2026-04-24,overnight,GOOGL,2,1.7247,1,2026-04-28 04:45:10
58,claude,2026-04-24,overnight,VZ,3,1.5524,1,2026-04-28 04:45:10
59,claude,2026-04-24,overnight,SMCI,4,-4.2297,0,2026-04-28 04:45:10
60,claude,2026-04-24,overnight,LLY,5,-1.775,1,2026-04-28 04:45:10
31,gemini,2026-04-24,day,IMMX,1,-3.620351036122327,1,2026-04-28 04:45:07
32,gemini,2026-04-24,day,NFLX,2,-0.14043129939130505,0,2026-04-28 04:45:07
33,gemini,2026-04-24,day,SLB,3,3.349898092188023,1,2026-04-28 04:45:07
34,gemini,2026-04-24,day,CHTR,4,-22.690985028835836,1,2026-04-28 04:45:07
35,gemini,2026-04-24,day,SMCI,5,5.630218664732667,0,2026-04-28 04:45:07
51,gemini,2026-04-24,overnight,ARM,1,-8.0618,0,2026-04-28 04:45:10
52,gemini,2026-04-24,overnight,CDNS,2,1.0965,1,2026-04-28 04:45:10
53,gemini,2026-04-24,overnight,TMUS,3,-3.7144,0,2026-04-28 04:45:10
54,gemini,2026-04-24,overnight,CHTR,4,-3.0645,1,2026-04-28 04:45:10
55,gemini,2026-04-24,overnight,BP,5,-0.6054,1,2026-04-28 04:45:10
21,grok,2026-04-24,day,HCA,1,0.5720910360646803,1,2026-04-28 04:45:07
22,grok,2026-04-24,day,SLB,2,3.349898092188023,1,2026-04-28 04:45:07
23,grok,2026-04-24,day,GNTX,3,-2.251334987878226,0,2026-04-28 04:45:07
24,grok,2026-04-24,day,SCCO,4,-1.4636054424319664,1,2026-04-28 04:45:07
25,grok,2026-04-24,day,CHTR,5,-22.690985028835836,1,2026-04-28 04:45:07
46,grok,2026-04-24,overnight,CDNS,1,1.0965,1,2026-04-28 04:45:10
47,grok,2026-04-24,overnight,VZ,2,1.5524,1,2026-04-28 04:45:10
48,grok,2026-04-24,overnight,NUE,3,0.3313,0,2026-04-28 04:45:10
49,grok,2026-04-24,overnight,PSA,4,-0.9115,0,2026-04-28 04:45:10
50,grok,2026-04-24,overnight,QQQ,5,0.0527,1,2026-04-28 04:45:10
