model_name,date,session,portfolio_value,daily_return,daily_return_pct,calculated_at
chatgpt,2026-04-23,day,9698.78,-301.22,-3.0122,2026-04-28 04:45:04
claude,2026-04-23,day,9945.26,-54.74,-0.5474,2026-04-28 04:45:04
gemini,2026-04-23,day,9795.12,-204.88,-2.0488,2026-04-28 04:45:05
grok,2026-04-23,day,9646.77,-353.23,-3.5323,2026-04-28 04:45:04
chatgpt,2026-04-24,day,9656.95,-41.83,-0.4313,2026-04-28 04:45:07
claude,2026-04-24,day,10073.56,128.3,1.29,2026-04-28 04:45:07
gemini,2026-04-24,day,10145.49,350.37,3.577,2026-04-28 04:45:07
grok,2026-04-24,day,9933.47,286.7,2.972,2026-04-28 04:45:07
chatgpt,2026-04-24,overnight,9781.11,124.16,1.2857,2026-04-28 04:45:10
claude,2026-04-24,overnight,10100.8,27.24,0.2704,2026-04-28 04:45:10
gemini,2026-04-24,overnight,9880.32,-265.17,-2.6137,2026-04-28 04:45:10
grok,2026-04-24,overnight,9982.06,48.59,0.4892,2026-04-28 04:45:10
chatgpt,2026-04-27,day,9679.19,-50.83,-0.5224,2026-04-28 05:59:33
claude,2026-04-27,day,10079.8,-10.49,-0.104,2026-04-28 05:59:33
gemini,2026-04-27,day,10296.57,210.27,2.0848,2026-04-28 05:59:33
grok,2026-04-27,day,10140.95,79.76,0.7928,2026-04-28 05:59:33
chatgpt,2026-04-27,overnight,9669.53,-6.76,-0.0698,2026-04-28 07:09:45
claude,2026-04-27,overnight,10115.81,39.03,0.3874,2026-04-28 07:09:45
gemini,2026-04-27,overnight,10325.62,32.14,0.3122,2026-04-28 07:09:45
grok,2026-04-27,overnight,10091.41,-46.5,-0.4587,2026-04-28 07:09:45
chatgpt,2026-04-28,day,9814.75,145.22,1.5019,2026-04-28 23:00:04
claude,2026-04-28,day,10061.23,-54.58,-0.5396,2026-04-28 23:00:04
gemini,2026-04-28,day,10473.45,147.83,1.4316,2026-04-28 23:00:04
grok,2026-04-28,day,10220.77,129.36,1.2818,2026-04-28 23:00:04
chatgpt,2026-04-28,overnight,9889.33,-114.55,-1.145,2026-04-29 21:32:11
claude,2026-04-28,overnight,10873.94,336.02,3.1886,2026-04-29 21:32:11
gemini,2026-04-28,overnight,10351.68,-3.82,-0.0369,2026-04-29 21:32:11
grok,2026-04-28,overnight,9488.22,-126.48,-1.3154,2026-04-29 21:32:11
chatgpt,2026-04-29,day,10003.88,163.51,1.6616,2026-04-29 21:20:33
claude,2026-04-29,day,10537.92,32.45,0.3088,2026-04-29 21:20:33
gemini,2026-04-29,day,10355.5,29.04,0.2812,2026-04-29 21:20:33
grok,2026-04-29,day,9614.7,-162.38,-1.6608,2026-04-29 21:20:33
chatgpt,2026-04-30,day,10098.96,95.08,0.9505,2026-04-30 20:05:04
claude,2026-04-30,day,10310.77,-227.15,-2.1556,2026-04-30 20:05:04
gemini,2026-04-30,day,10450.85,95.35,0.9208,2026-04-30 20:05:04
grok,2026-04-30,day,9699.19,84.49,0.8788,2026-04-30 20:05:04
chatgpt,2026-05-01,day,10167.31,68.35,0.6768,2026-05-01 20:05:04
claude,2026-05-01,day,10655.47,344.7,3.3431,2026-05-01 20:05:04
gemini,2026-05-01,day,10599.51,148.66,1.4225,2026-05-01 20:05:04
grok,2026-05-01,day,9788.09,88.9,0.9166,2026-05-01 20:05:04
chatgpt,2026-05-04,day,10109.49,-57.82,-0.5687,2026-05-04 20:05:03
claude,2026-05-04,day,10738.97,83.5,0.7836,2026-05-04 20:05:03
gemini,2026-05-04,day,10509.6,-89.91,-0.8483,2026-05-04 20:05:03
grok,2026-05-04,day,9722.92,-65.17,-0.6658,2026-05-04 20:05:03
chatgpt,2026-05-05,day,9892.66,-216.83,-2.1448,2026-05-05 20:05:05
claude,2026-05-05,day,10570.46,-168.51,-1.5691,2026-05-05 20:05:05
gemini,2026-05-05,day,10372.17,-137.43,-1.3077,2026-05-05 20:05:05
grok,2026-05-05,day,9428.23,-294.69,-3.0308,2026-05-05 20:05:05
chatgpt,2026-05-06,day,10052.34,159.68,1.6141,2026-05-06 20:05:10
claude,2026-05-06,day,10977.61,407.15,3.8518,2026-05-06 20:05:10
gemini,2026-05-06,day,10792.74,420.57,4.0548,2026-05-06 20:05:10
grok,2026-05-06,day,9434.46,6.23,0.066,2026-05-06 20:05:10
chatgpt,2026-05-07,day,10111.29,58.95,0.5864,2026-05-07 20:05:04
claude,2026-05-07,day,10600.78,-376.83,-3.4327,2026-05-07 20:05:04
gemini,2026-05-07,day,10391.52,-401.22,-3.7175,2026-05-07 20:05:04
grok,2026-05-07,day,9443.53,9.07,0.0961,2026-05-07 20:05:04
chatgpt,2026-05-07,overnight,9293.15,-818.14,-8.0913,2026-05-08 13:35:06
claude,2026-05-07,overnight,10693.7,92.92,0.8765,2026-05-08 13:35:06
gemini,2026-05-07,overnight,10294.61,-96.91,-0.9326,2026-05-08 13:35:06
grok,2026-05-07,overnight,8894.44,-549.09,-5.8144,2026-05-08 13:35:06
chatgpt,2026-05-08,day,9131.68,-161.47,-1.7375,2026-05-08 20:05:05
claude,2026-05-08,day,10336.42,-357.28,-3.3411,2026-05-08 20:05:05
gemini,2026-05-08,day,10645.76,351.15,3.411,2026-05-08 20:05:05
grok,2026-05-08,day,8480.73,-413.71,-4.6513,2026-05-08 20:05:05
chatgpt,2026-05-11,day,9407.72,276.04,3.0229,2026-05-11 20:05:07
claude,2026-05-11,day,10122.32,-214.1,-2.0713,2026-05-11 20:05:07
gemini,2026-05-11,day,11062.47,416.71,3.9143,2026-05-11 20:05:07
grok,2026-05-11,day,8828.58,347.85,4.1017,2026-05-11 20:05:07
chatgpt,2026-05-12,day,9385.01,-22.71,-0.2413,2026-05-12 20:05:02
claude,2026-05-12,day,10102.36,-19.96,-0.1972,2026-05-12 20:05:02
gemini,2026-05-12,day,11051.44,-11.03,-0.0997,2026-05-12 20:05:02
grok,2026-05-12,day,8794.73,-33.85,-0.3835,2026-05-12 20:05:02
